,Unnamed: 0,Total,Change,Percent,Song_uuid,Song_name,creditName,nexttoken
6906,6906,216721,-79,-0.04,1e840a8-0088-e488-8a4d-aa1c026db3d8,Как дела нормально,Chicago Seven,WzIxNjk1NCwxMzA5Mzg1MV0=
7072,7072,211429,-94,-0.04,eb1c7e4-4e4c-4757-a86f-45796394d584,Hayatak Fi Sora,Mohamed Hamaki,WzIxMzcwMCw4MjA2NTg3MTRd
7194,7194,207450,-96,-0.05,1e82640-54ef-f9f8-a4f7-aa1c026db3d8,Tanto la quería,Andy & Lucas,WzIxMDUwMCw3MzUwMjM3ODdd
7418,7418,200528,20,0.01,18b7223-2c89-43c7-8296-4320cba46549,Hussan Da Badshah,Shafa Ullah Khan Rokhri,WzIwMTMwMSw3NDM0ODgyODdd
7585,7585,195549,-51,-0.03,c7b0014-5b8d-11ea-8e20-e4434b2a4898,22,Lil Candy Paint,WzE5ODM3MiwyNjc5NTIzMl0=
7592,7592,195421,-36,-0.02,1e840a0-8899-7142-9977-aa1c026db3d8,Малый повзрослел,Max Korzh,WzE5ODM3MiwyNjc5NTIzMl0=
7769,7769,190600,700,0.37,1ff6aa6-8132-4dd0-b32a-92ae50cf6281,TÚ NAME,Fuerza Regida,WzE5MjI2NiwxMjg3Nzg0NF0=
7919,7919,186608,-9,0.0,e28f980-108c-4889-81c3-48572a3c9893,Me Levanté,Dave Bolaño,WzE4NzEwMCw4MTQ1NTc4NTZd
8101,8101,182271,81,0.04,1e840ae-b61c-a1da-b2fc-aa1c026db3d8,Tu Zaroori,Sharib Toshi & Sunidhi Chauhan & Sharib Sabri,WzE4MjMwMCw3ODYwNzcwOTRd
8149,8149,181113,0,0.0,7b7f39d-1910-4a08-85b8-219932a38c06,Ilegal,Grupo Recluta,WzE4MjMwMCw3ODYwNzcwOTRd
8174,8174,180600,0,0.0,1e840cc-5b76-a2da-9e0f-aa1c026db3d8,Volver a los 17,Angel Parra Orrego & Javiera Parra,WzE4MjMwMCw3ODYwNzcwOTRd
8434,8434,174496,-42,-0.02,4ad993d-0670-48fc-b200-3d06c5febf10,Na Load Pade Hathiyaro Ki,Nitin Rajput,WzE3NTA3MCwyNzE0NDY0NV0=
8446,8446,174208,9451,5.74,244b698-d0f4-11e9-a12d-549f35141000,Janum Ya Hussain,Nadeem Sarwar,WzE3NTA3MCwyNzE0NDY0NV0=
8527,8527,172600,4700,2.8,f924de8-f8a6-4955-baf9-eedcbba33686,Flow Mercy,Ferso,WzE3MzEwOCw3NjQxMjMzMTNd
8639,8639,170300,25600,17.69,415e132-9db7-45b7-b35b-5d2a0c8c128c,Metas por Delante,La Revelacion de Culiacan,WzE3MTA1NSwzNzM4MzJd
8642,8642,170216,-58,-0.03,1e8409a-1772-8126-99e1-aa1c026db3d8,ขาดความอบอุ่น,เสือใหญ่,WzE3MTA1NSwzNzM4MzJd
8826,8826,166400,-100,-0.06,6a97996-d6e4-11e9-872e-549f35161576,I Willing To Be A Normal,Incognito1984,WzE2NzExNCwxMTkwNTc3NF0=
8889,8889,165152,-69,-0.04,1e8a772-7459-e6a6-9110-525400009efb,Darkside,Alan Walker & Au/Ra & Tomine Harket,WzE2NzExNCwxMTkwNTc3NF0=
9114,9114,161369,-9,-0.01,1e82613-41ea-27de-a539-a0369fe50396,Smooth Criminal (Radio Edit),Michael Jackson,WzE2MTYxMyw2MzI2NzE3NThd
9118,9118,161200,17800,12.41,39d8566-0f33-4ee3-b2b9-244d79194f58,where is my mind (piano version),your movie soundtrack,WzE2MTYxMyw2MzI2NzE3NThd
9246,9246,158698,650,0.41,1e8411a-b033-89ac-ae12-aa1c026db3d8,Maya,Helal,WzE1OTM3MSw0MjUyMjk4NF0=
9417,9417,155168,-15,-0.01,2d5853a-298a-11ea-a3cf-549f35141000,Zehar,Singga,WzE1NTY1NCwxMDQ1NDFd
9448,9448,154502,1272,0.83,55b2ccc-4317-11ea-87ca-549f35141000,Ali Warga Zamane Tey,Ahtsham Aslam,WzE1NTY1NCwxMDQ1NDFd
9552,9552,152780,216,0.14,a6e75aa-046e-11e9-a4fa-549f35141000,Munange,Winnie Nwagi,WzE1MzY2Nyw0Nzc0MDA2XQ==
9656,9656,150735,9529,6.75,1e82666-8553-8f08-b2fa-aa1c026db3d8,Three Lions,The Lightning Seeds & Baddiel & Skinner,WzE1MTY4NiwxMzk4NTE4NV0=
9674,9674,150400,-100,-0.07,3a7bd08-8cd1-499b-8b73-cd7a94d1801c,"GOD DID (feat. Rick Ross, Lil Wayne, Jay-Z, John Legend & Fridayy)",DJ Khaled & Rick Ross & Lil Wayne & JAY-Z & John Legend & Fridayy,WzE1MTY4NiwxMzk4NTE4NV0=
9818,9818,147963,-36,-0.02,1e8411c-cd84-17ae-8f0d-aa1c026db3d8,"Hosanna (From ""Ekk Deewana Tha"")",A.R. Rahman & Leon D'souza & Suzanne D'Mello,WzE0ODI2NiwxNDU0NDUzNF0=
9851,9851,147497,179,0.12,8490e50-b8de-11e8-b134-525400009efb,Toté,Dream Boyz,WzE0ODI2NiwxNDU0NDUzNF0=
10362,10362,139287,-85,-0.06,0cacbe0-8a63-11e9-be6a-549f35141000,Kyal Ka Lay yet Pone Pyin (feat. Hlwan Paing),Bobby Soxer & Hlwan Paing,WzE0MDIwMCw2Nzc5OTE4ODFd
10396,10396,138800,0,0.0,187a3c3-2c8f-4a89-90e3-cb1470169e47,Hell N Back - Sped Up,Bakar & sped up + slowed,WzE0MDIwMCw2Nzc5OTE4ODFd
10412,10412,138509,185,0.13,0e704f4-2416-4ee6-ae61-4a77bf6b9675,Cocaine,Dai Verse,WzEzODcxMSwyNjM5Mjg3MF0=
10586,10586,135566,532,0.39,32a2d6f-8535-4bdc-a3dc-37e7a2a702b3,Me Niegas,Baby Rasta & Gringo,WzEzNjk5NCwzMTU4NzYzMF0=
10647,10647,134476,84,0.06,38152d0-2424-4f9b-88bc-9ff47fa2af71,Fitoor (Original Score),Shani Arshad & Aima Baig,WzEzNTMzMCwxMTQyMzk3Nl0=
10704,10704,133600,0,0.0,9d24c8d-b07d-4a5f-93da-5d2578ef7f0f,Chaki Chaki,Erkan Kılıç & Daler Nazarov,WzEzMzYzNiw1MTcxMjE2N10=
10951,10951,130202,-98,-0.08,12b7d0d-9ebd-4466-ab65-e89d01e8a0f0,Photu Fecebook P Mat Dal Banwari indergrah,Banwari Indergrah,WzEzMDk2OSwyNjQxNTI4MF0=
11004,11004,129700,0,0.0,1e840c7-4722-636e-8602-aa1c026db3d8,Selamat Ulang Tahun,Dinda,WzEyOTczMyw3Mzc5MDI5MTBd
11111,11111,128042,-97,-0.08,cccdc91-6a81-4593-a7fc-1ee226db0b63,輸入法打可愛按第五 (純享版),米卡 & 高卿尘 & 吴宇恒 & 薛八一 & 张星特 & 曾涵江 & 鞠婧禕,WzEyODIwOSwyNTg5MTAyOF0=
11408,11408,123900,0,0.0,0ed9d7a-a8cc-48ff-93be-88a3f02c5ede,Tiada Berdaya (feat. Dian Marshanda),Dangdut Koplo Rgs & Dian Marshanda,WzEyNDAwMCw2ODU3MTUxMTBd
11581,11581,121900,900,0.74,8dcc570-b8d7-11e8-a033-525400009efb,"Vamos, Vamos Argentina",La Barra Buyanguera,WzEyMjk3OSw3MDg1ODkxMjNd
11682,11682,120700,-100,-0.08,4a31df7-7f1d-453d-99e2-1ef6d31740c4,Taurified Jatt,Dilbag Sandhu & Sudesh Kumari,WzEyMTY0Nyw1MTgwNzAyMjBd
11685,11685,120700,0,0.0,ac7f4a3-55ea-45de-a309-090c92fead51,Vengeance Phonk,TREVASPURA,WzEyMTY0Nyw1MTgwNzAyMjBd
11785,11785,119462,154,0.13,23c3f2f-c6e6-4093-90a3-29bf7fb36885,Exed Up,Culture Shock,WzEyMDUwMCw2ODk1NTI2NDdd
11930,11930,117900,-100,-0.08,2867cd7-b6a1-4bd0-b8cf-78d00241ba81,Aking Pahinga,Dro Perez & I-Ghie,WzExODI4MSw2MzU4OTM4MTdd
12189,12189,114782,-62,-0.05,fae800a-5161-11ea-9bf3-801844ee83a6,"Satrangi Re (From ""Dil Se"")",Sonu Nigam & Kavita Krishnamurthy,WzExNTkwMCw0MjgyMTM4NF0=
12955,12955,106960,32172,43.02,1e8409c-2625-8572-af2c-a0369fe50396,La Roja Baila (Himno Oficial de la Selección Española),Sergio Ramos & Niña Pastori & RedOne,WzEwNzU4MSw2ODQ3MDQwNjJd
13006,13006,106495,31,0.03,7ef03e1-885a-428d-8a9b-28d3a7f4efe6,Yeezy,Anuel AA & Ñengo Flow,WzEwNjU1Nyw3MDc2MTA2ODBd
13013,13013,106380,101,0.1,0158a86-403e-426b-86d0-eb3e85f82e46,Hasta el infinito (feat. Shakira Martínez),Maki & Shakira Martínez,WzEwNjU1Nyw3MDc2MTA2ODBd
13041,13041,106014,33,0.03,2f00c49-f9da-4901-915b-6a298ff126ac,Pahilo Maya,Kamal Khatri,WzEwNjU1Nyw3MDc2MTA2ODBd
13092,13092,105424,-11,-0.01,beccc1a-8b1b-4b60-9633-24919e5814cb,Bhalobaisha Dili Re,S. D. Rubel,WzEwNjU1Nyw3MDc2MTA2ODBd
13128,13128,105049,-61,-0.06,1e82620-9dcf-4ff4-95b9-aa1c026db3d8,La Passion,Gigi D'Agostino,WzEwNTQwMCw3NjQxMDU2OTNd
13161,13161,104700,0,0.0,16af199-6a5b-4452-9dcc-2271d6ca0867,Dios Siempre Tiene el Control,Jorge Arias,WzEwNTQwMCw3NjQxMDU2OTNd
13250,13250,103861,8601,9.03,1e840a5-2c7e-d9c4-a239-aa1c026db3d8,Hoy Es el Último Día,Tereza Calderon,WzEwNDM4NywyNDIzOTA1N10=
13334,13334,103137,-49,-0.05,96f518c-5a3b-11ea-a80f-e4434b2a4898,Enjoy Life,Airr,WzEwMzQwMyw2NDQzODc0NThd
13475,13475,102000,0,0.0,a3e4871-32b8-4034-8684-309d61423e51,Rahatlatici Kus Sesleri,Rahatlatan Sesler,WzEwMjYwMCw3MjgxODYwODhd
13694,13694,100100,0,0.0,60c8a30-cc43-4d5e-9d15-62c8d4cb0d6f,Self Motivation,Alec Koff,WzEwMDk0OSw2NzczNjQyMDZd
13725,13725,99846,-68,-0.07,6854768-c640-11e8-846d-549f35141000,เวลาของเรา - เพลงประกอบละคร สองผู้ยิ่งใหญ่,Panadda Ruangwut & โอ๊ค สมิทธิ์,WzEwMDA3MiwxMTAxMjI5OV0=
13835,13835,98759,18,0.02,1f070d2-5c72-466e-8279-f6d791be59ec,Canceled,Larray,Wzk5MTk2LDMwMDg3MzQyXQ==
13993,13993,97485,-12,-0.01,fa2ff26-ee56-4d68-b798-8e13f8942f02,Ma3lich Ya 9albi,Cheb Adoula & Cheb Djalil,Wzk4MTY0LDIyMTQ1MDNd
14099,14099,96700,0,0.0,d0ddc70-dc2e-11e9-a0dd-801844ee83a6,Balonku,PERGI BELAJAR,Wzk3NDAwLDIyNDc0N10=
14240,14240,95600,-100,-0.1,cc85008-79be-4cd5-ba5e-25eb17c8defd,สิให้อ้ายอยู่หม่องได๋กะบอก,เจ ณฐกร,Wzk1ODc3LDY3NDY1MDgwN10=
14404,14404,94266,-6,-0.01,592cb23-38b0-40d4-beba-0c0e53cb3ae2,"EN SOLEDAD (feat. ADSO, Akapellah)",Micro TDH & Jerry Di & Big Soto & ADSO & Akapellah,Wzk0MzAwLDc5NTA0NzMzMl0=
14588,14588,92815,2870,3.19,f15afe2-8956-11e9-a581-549f35141000,Sabki Baratein Aayeen (Part 2),Alka Yagnik,WzkzNTAwLDQxMTM1MzgyXQ==
14821,14821,91100,5200,6.05,d005964-b8f2-11e8-b5f3-525400009efb,DJ Aisyah Suka Sama Aceng Pilek,BreaksManado,WzkxMjA0LDYzMjMyMjcyNV0=
15078,15078,89170,113,0.13,354ed51-8ceb-4de2-8232-51d150d1d90f,Beatbox,NY Demons,Wzg5NzAwLDEwMjM1NjNd
15126,15126,88808,-64,-0.07,edccd13-8c36-4f96-ad8f-280333595d35,MANIAC,Stray Kids,Wzg4OTg1LDY0ODAwNDI1M10=
15171,15171,88462,5063,6.07,85d088d-a4d5-460c-a78f-c75c8d614fc5,Labbaik Ya Hussain,Syed Farhan Ali Waris,Wzg4OTg1LDY0ODAwNDI1M10=
15523,15523,86037,-38,-0.04,1e826ec-591d-7544-8458-a0369fe50396,Pull The Trigger,Russ,Wzg2MjAwLDY0MDk1OTIyOV0=
15547,15547,85900,-100,-0.12,99835c2-46d9-4574-83c1-3321b06c695c,Señora Señora,Sherline López,Wzg2MjAwLDY0MDk1OTIyOV0=
15583,15583,85637,66,0.08,ac5867a-c7a3-4df1-85ad-242bec5b1294,O Golpe Tá Aí,Matheuzinho & Menor Nico,Wzg2MjAwLDY0MDk1OTIyOV0=
15658,15658,85147,-43,-0.05,3c5b240-7a79-4387-8031-b85deec67d16,Özledim Seni,Halit Bilgiç,Wzg1NTExLDc5NTEyNTUzOV0=
16370,16370,80400,-100,-0.12,8efd6ab-4415-4468-94f0-edcccafda5fb,Halaalé,Greg Burkimbila,WzgwOTAwLDU5MjQ3ODNd
16800,16800,77901,-75,-0.1,19f7ad9-86f5-4114-bb2e-afb714e90880,Amo' perduoname,Mimmo Dany,Wzc3OTAxLDU2NjAzNzQyXQ==
17066,17066,76427,-3,0.0,1e82624-e097-3eba-9e1b-aa1c026db3d8,So Many Questions,Side A & Jerry Joanino,Wzc2Nzg3LDY0MDcxMTI3OV0=
17114,17114,76194,-62,-0.08,0314121-dba0-4aed-8240-835281e50337,Jashn-E-Bahaaraa (Instrumental - Flute),A.R. Rahman,Wzc2MjU3LDEwNDY1ODE4XQ==
17258,17258,75323,-66,-0.09,731ee17-9c79-4e58-b2fb-667a847b566f,Tulus Angen,Aolina Lestari,Wzc1NzAxLDc2NDExOTM0MV0=
17273,17273,75259,2234,3.06,1e82666-855d-3850-8d24-aa1c026db3d8,Three Lions '98,"Baddiel, Skinner & Lightning Seeds",Wzc1NzAxLDc2NDExOTM0MV0=
17298,17298,75081,-26,-0.03,1e84097-65f3-959a-b7fc-a0369fe50396,Waiting for You (Intezaar),White Rascul & Anuradha Paudwal & Cheshire Cat,Wzc1NzAxLDc2NDExOTM0MV0=
17307,17307,75000,0,0.0,2a80f25-ac16-4c89-8fff-7d158440518a,Tienes Todo Lo Que Me Gusta,Los Creadorez,Wzc1MDY3LDU2MDc3NjY2XQ==
17336,17336,74800,0,0.0,c34e2b0-0b56-4fe5-907e-c70a1792533e,Adrenaline Rush,Balang_3go,Wzc1MDY3LDU2MDc3NjY2XQ==
17378,17378,74559,-98,-0.13,6ba0937-96e5-483f-acb2-9a1d87ce9348,Daaktar,Kumar Bishwajit,Wzc1MDY3LDU2MDc3NjY2XQ==
17420,17420,74300,0,0.0,302dd17-fe94-474b-86c3-d3a4db7afc84,Thuyền Quyên - AM Remix (Dặm Ngàn Thiên Lý Tiễn Người Đi),Diệu Kiên,Wzc0NDAwLDgwMDQ0OTg2Ml0=
17467,17467,74122,-7,-0.01,1e84090-962e-f7a6-90ec-aa1c026db3d8,ฝุ่น,Big Ass,Wzc0NDAwLDgwMDQ0OTg2Ml0=
17555,17555,73600,-100,-0.14,11d8b78-b658-43ca-951f-5aed593843a7,Timro Mitho Muskan,Rajan Karki & Pramod Kharel,WzczOTU4LDQ3Mjk5NjgzXQ==
17849,17849,72000,0,0.0,82b8a23-ff55-45dc-afc1-7bfe4e3c788e,I Hope to Be Around (Live),SweedyQ,WzcyMjMxLDIyNDg1ODYyXQ==
17852,17852,72000,0,0.0,79b3883-cac1-4da6-a1ca-df05002df96c,Belly Dancer,Imanbek & BYOR,WzcyMjMxLDIyNDg1ODYyXQ==
18067,18067,70920,27,0.04,9767268-24df-11ea-a86a-549f35141000,Flower,Yoon Mirae,WzcxMzAwLDcyODkzMDkxM10=
18096,18096,70711,-26,-0.04,ef8150e-9e13-4fab-a0cd-ecbf70e8cb8f,Опять домой,Karna.val,WzcxMzAwLDcyODkzMDkxM10=
18136,18136,70521,1311,1.89,1e840e0-a1f3-0884-9c1a-aa1c026db3d8,Doruklara Sevdaland?m,Ahmet Kaya,WzcwNzAwLDkyMDIyN10=
18220,18220,70080,-56,-0.08,1e82696-e121-e304-972d-a0369fe50396,Pesona,Numata,WzcwMjAwLDgxNTM2Njc0NV0=
18413,18413,69139,478,0.7,c424a50-1e14-48c9-909a-d96c96d968ea,Tar Sa,Yar Wana & Yaw Yazt,WzY5MjYwLDI3NTk1Mjc0XQ==
18509,18509,68767,0,0.0,3420318-e1cb-40bd-8015-57cc5f4dfd3d,Natural,Nature Sounds,WzY4ODAwLDk4MzMzMl0=
18570,18570,68495,59,0.09,1e840ea-0c71-a702-8d69-a0369fe50396,Yeah! Usher,Usher & Lil Jon,WzY4ODAwLDk4MzMzMl0=
18629,18629,68200,-100,-0.15,3e2a482-09a8-11ea-acd6-801844ee83a6,"Ham To Chale Pardes (From ""Sargam"") [1979]",Mohammed Rafi,WzY4MzQxLDE3MjAxNjYyXQ==
18683,18683,67928,5162,8.22,c866869-b631-4a84-8d3c-bb80bd367c3c,Ya Shaheed-e-Karbala,Muhammad Farhan Ali Qadri & Muharram,WzY4MzQxLDE3MjAxNjYyXQ==
18708,18708,67824,-11,-0.02,49fccce-de82-11e8-b9e7-549f35141000,Hüznün Gemileri,Ekin Uzunlar,WzY3ODk3LDQ2OTU3MF0=
18795,18795,67400,-100,-0.15,6e02ece-21f0-11e9-b749-549f35141000,Ise Olorun Oba/Soun Tokan Re,Saoti Arewa,WzY3ODk3LDQ2OTU3MF0=
18883,18883,67000,-100,-0.15,2634e3e-fa8d-11e8-b64a-549f35141000,Детство,Волшебники двора,WzY3NDAwLDcyOTA0MzUzNF0=
18948,18948,66768,-65,-0.1,fb0e8d6-c1a3-11e8-a963-525400009efb,Enakke Enakkaa,Unnikrishan,WzY2OTQ1LDIyNjA0MjUwXQ==
19045,19045,66354,-99,-0.15,1e85918-4aa1-56c6-a1fc-a0369fe50396,"Rabb Khair Kare (From ""Daana Paani"" Soundtrack) [with Jaidev Kumar]",Prabh Gill & Jaidev Kumar,WzY2NTE3LDEzNzMwNDM0XQ==
19081,19081,66199,97,0.15,1e8407d-bd66-7b90-b57f-aa1c026db3d8,เสียงแคนจากแมนชั่น,Maithai Jaitawan,WzY2NTE3LDEzNzMwNDM0XQ==
19152,19152,65859,20140,44.05,9376b80-7a03-11e9-ba5f-801844edfa71,Maula Mera Ve Ghar,Nadeem Sarwar,WzY2MTAwLDE3NDcyODA1XQ==
19574,19574,64022,-29,-0.05,8749172-4ed2-11ea-9bcc-549f35141000,Aktivated,Sada Baby,WzY0MjY3LDQ5MDkwMDhd
